Experimento: Coeficiente de Rozamiento y Segunda Ley de Newton
Columnas: Ensayo | Masa (kg) | Fuerza Normal (N) | Fuerza Aplicada (N) | Fuerza Rozamiento (N) | Coef. Rozamiento (mu_k) | Fuerza Neta (N) | Aceleracion (m/s^2)
47     | 1.90      | 18.64             | 13.05               | 4.87                  | 0.261                  | 8.18            | 4.31              
48     | 2.84      | 27.86             | 13.60               | 6.75                  | 0.242                  | 6.85            | 2.41              
49     | 2.96      | 29.04             | 14.67               | 7.35                  | 0.253                  | 7.32            | 2.47              
50     | 1.33      | 13.05             | 11.75               | 3.59                  | 0.275                  | 8.16            | 6.14              
51     | 4.86      | 47.68             | 20.78               | 11.77                 | 0.247                  | 9.01            | 1.85              
52     | 3.99      | 39.14             | 13.74               | 9.70                  | 0.248                  | 4.04            | 1.01              
53     | 4.73      | 46.40             | 15.99               | 11.61                 | 0.250                  | 4.38            | 0.93              
54     | 4.53      | 44.44             | 12.88               | 11.03                 | 0.248                  | 1.85            | 0.41              
55     | 3.19      | 31.29             | 13.79               | 7.59                  | 0.243                  | 6.20            | 1.94              
56     | 4.65      | 45.62             | 12.74               | 11.42                 | 0.250                  | 1.32            | 0.28              
57     | 0.90      | 8.83              | 7.24                | 2.05                  | 0.232                  | 5.19            | 5.77              
58     | 1.38      | 13.54             | 9.34                | 3.46                  | 0.256                  | 5.88            | 4.26              
59     | 0.70      | 6.87              | 5.16                | 1.58                  | 0.230                  | 3.58            | 5.11              
60     | 1.96      | 19.23             | 11.36               | 5.04                  | 0.262                  | 6.32            | 3.22              
61     | 2.25      | 22.07             | 6.67                | 5.40                  | 0.245                  | 1.27            | 0.56              
62     | 1.72      | 16.87             | 5.51                | 4.17                  | 0.247                  | 1.34            | 0.78              
63     | 4.23      | 41.50             | 18.90               | 10.50                 | 0.253                  | 8.40            | 1.99              
64     | 2.11      | 20.70             | 9.23                | 4.99                  | 0.241                  | 4.24            | 2.01              
65     | 1.76      | 17.27             | 6.49                | 4.35                  | 0.252                  | 2.14            | 1.22              
66     | 2.94      | 28.84             | 13.11               | 7.41                  | 0.257                  | 5.70            | 1.94              
67     | 1.13      | 11.09             | 10.46               | 2.53                  | 0.228                  | 7.93            | 7.02              
68     | 4.11      | 40.32             | 13.05               | 10.11                 | 0.251                  | 2.94            | 0.72              
69     | 0.84      | 8.24              | 8.71                | 2.10                  | 0.255                  | 6.61            | 7.87              
70     | 4.94      | 48.46             | 14.00               | 12.23                 | 0.252                  | 1.77            | 0.36              
71     | 3.98      | 39.04             | 11.04               | 9.57                  | 0.245                  | 1.47            | 0.37              
72     | 1.39      | 13.64             | 8.99                | 3.21                  | 0.235                  | 5.78            | 4.16              
73     | 0.52      | 5.10              | 7.22                | 1.35                  | 0.265                  | 5.87            | 11.29             
74     | 4.17      | 40.91             | 17.01               | 10.27                 | 0.251                  | 6.74            | 1.62              
75     | 3.68      | 36.10             | 16.59               | 9.06                  | 0.251                  | 7.53            | 2.05              
76     | 3.78      | 37.08             | 19.10               | 9.32                  | 0.251                  | 9.78            | 2.59              
77     | 3.97      | 38.95             | 15.29               | 9.64                  | 0.247                  | 5.65            | 1.42              
78     | 0.83      | 8.14              | 5.98                | 2.07                  | 0.254                  | 3.91            | 4.71              
79     | 2.11      | 20.70             | 13.38               | 5.22                  | 0.252                  | 8.16            | 3.87              
80     | 1.02      | 10.01             | 5.84                | 2.40                  | 0.240                  | 3.44            | 3.37              
81     | 4.38      | 42.97             | 15.97               | 11.02                 | 0.256                  | 4.95            | 1.13              
82     | 3.30      | 32.37             | 9.87                | 8.16                  | 0.252                  | 1.71            | 0.52              
83     | 1.99      | 19.52             | 5.93                | 4.70                  | 0.241                  | 1.23            | 0.62              
84     | 0.79      | 7.75              | 11.70               | 2.04                  | 0.263                  | 9.66            | 12.23             
85     | 1.90      | 18.64             | 13.03               | 4.51                  | 0.242                  | 8.52            | 4.48              
86     | 1.96      | 19.23             | 12.19               | 4.93                  | 0.256                  | 7.26            | 3.70              
87     | 3.78      | 37.08             | 14.12               | 9.44                  | 0.255                  | 4.68            | 1.24              
88     | 3.37      | 33.06             | 10.70               | 8.14                  | 0.246                  | 2.56            | 0.76              
89     | 4.49      | 44.05             | 13.57               | 11.16                 | 0.253                  | 2.41            | 0.54              
90     | 2.62      | 25.70             | 9.74                | 6.49                  | 0.253                  | 3.25            | 1.24              
91     | 1.04      | 10.20             | 8.61                | 2.67                  | 0.262                  | 5.94            | 5.71              
92     | 3.71      | 36.40             | 16.81               | 9.38                  | 0.258                  | 7.43            | 2.00              
93     | 3.92      | 38.46             | 16.52               | 9.58                  | 0.249                  | 6.94            | 1.77              
94     | 3.03      | 29.72             | 10.84               | 7.32                  | 0.246                  | 3.52            | 1.16              
95     | 3.97      | 38.95             | 19.19               | 9.60                  | 0.246                  | 9.59            | 2.42              
96     | 2.72      | 26.68             | 14.19               | 6.55                  | 0.246                  | 7.64            | 2.81              
97     | 2.85      | 27.96             | 12.97               | 6.98                  | 0.250                  | 5.99            | 2.10              
98     | 2.42      | 23.74             | 12.50               | 5.99                  | 0.252                  | 6.51            | 2.69              
99     | 0.61      | 5.98              | 6.32                | 1.54                  | 0.258                  | 4.78            | 7.84              
100    | 0.99      | 9.71              | 5.78                | 2.55                  | 0.263                  | 3.23            | 3.26              
